ABL_NPS_LAB_RECORD_NO,YEAR,WATERBODY,STATION_NAME,STATION_ID,RETRIEVAL_DATE,SAMPLE_TYPE,LAB,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SUBGENUS,SPECIES,TAXON_ID_EXPERT,TAXON_ID_NOTES,TSN_LOOKUP,TSN_SOURCE,TSN,LARVA,PUPA,ADULT,TOTAL,TVAL,TFUNCT,EcoFTN,EcoFTN_RHEOPHILLY,EcoFTN_THERMAL,EcoFTN_HABIT,EcoFTN_TROPHIC,TAXONOMIC_REFERENCE,CONDITION,NOTES
96,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Clitellata,Tubificida,Naididae,Naidinae,Nais,NA,behningi,Nais behningi,NA,Nais behningi,ITIS,68949,0,0,7,7,NA,collector-gatherer,NA,NA,NA,NA,NA,Klemm 1985,NA,NA
97,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Clitellata,Tubificida,Naididae,Naidinae,Nais,NA,variabilis,Nais variabilis,NA,Nais variabilis,ITIS,68959,0,0,5,5,NA,collector-gatherer,NA,NA,NA,NA,NA,Klemm 1985,NA,NA
36,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Coleoptera,Elmidae,Elminae,Dubiraphia,NA,minima,Dubiraphia minima,NA,Dubiraphia minima,ITIS,114133,0,0,1,1,5,collector-gatherer,2241,2,2,4,1,Hilsenhoff and Schmude 1992,NA,NA
37,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Coleoptera,Elmidae,Elminae,Macronychus,NA,glabratus,Macronychus glabratus,NA,Macronychus glabratus,ITIS,114213,5,0,0,5,4,collector-gatherer,2241,2,2,4,1,Hilsenhoff and Schmude 1992,NA,NA
38,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Coleoptera,Elmidae,Elminae,Optioservus,NA,NA,Optioservus,NA,Optioservus,ITIS,114177,1,0,0,1,4,scraper,2241,2,2,4,1,Hilsenhoff and Schmude 1992,imm.,NA
39,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Athericidae,NA,Atherix,NA,variegata,Atherix variegata,NA,Atherix variegata,ITIS,130932,8,0,0,8,2,predator,2234,2,2,3,4,Hilsenhoff 1995,NA,NA
62,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Tanypodinae,Ablabesmyia,A. (Ablabesmyia),NA,Ablabesmyia (Ablabesmyia),NA,Ablabesmyia,ITIS,128079,3,0,0,3,8,predator,2234,2,2,3,4,"Andersen, Cranston, and Epler 2013",NA,NA
51,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Cricotopus,NA,NA,Cricotopus,NA,Cricotopus,ITIS,128575,11,0,0,11,7,shredder,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
40,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Cryptochironomus,NA,NA,Cryptochironomus,NA,Cryptochironomus,ITIS,129368,1,0,0,1,8,predator,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
41,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Dicrotendipes,NA,NA,Dicrotendipes,NA,Dicrotendipes,ITIS,129428,1,0,0,1,8,collector-gatherer,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
